f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (1OGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
10,1,1,1,1,1,1,1.46597444431235E-06,4.72503340258623E-08,5.72927408786253E-08,8.42417949394861E-10
10.9647819614319,1,1,1,1,1,1,1.98597916767046E-06,7.04600201612519E-08,9.05606584748948E-08,1.12847053739252E-09
12.0226443461741,1,1,1,1,1,1,2.70274109715417E-06,1.05836062798568E-07,1.43209667639332E-07,1.4957669501058E-09
13.1825673855641,1,1,1,1,1,1,3.69716453853819E-06,1.60046111069193E-07,2.26551103440827E-07,1.94318822848404E-09
14.4543977074593,1,1,1,1,1,1,5.08659691380816E-06,2.4351497993308E-07,3.58504415891948E-07,2.47326679551402E-09
15.8489319246112,1,1,1,1,1,1,7.0426823296094E-06,3.72576776689696E-07,5.67459726466321E-07,3.02028031873025E-09
17.3780082874938,1,1,1,1,1,1,9.81855584724738E-06,5.72871338257603E-07,8.98398776783272E-07,3.58210343916175E-09
19.0546071796324,1,1,1,1,1,1,1.37904911342816E-05,8.84708168236147E-07,1.42259493597271E-06,4.12893140875848E-09
20.8929613085404,1,1,1,1,1,1,1.95219929582788E-05,1.37154258714902E-06,2.25298530198312E-06,5.29322904429079E-09
22.9086765276777,1,1,1,1,1,1,2.78628530282942E-05,2.13337641449005E-06,3.56853202857674E-06,5.36042336123699E-09
25.1188643150958,1,1,1,1,1,1,4.01028157550238E-05,3.32795296997194E-06,5.65283003832982E-06,6.7500354753646E-09
27.5422870333816,1,1,1,1,1,1,5.82107360054292E-05,5.20429134678963E-06,8.95529297573111E-06,9.62484048056489E-09
30.1995172040202,1,1,1,1,1,1,8.52078366434661E-05,8.15575880063051E-06,1.41881222573091E-05,1.42546309096539E-08
33.1131121482591,1,1,1,1,1,1,0.000125751659762,1.28040848247858E-05,2.24799871877439E-05,1.93527020005585E-08
36.3078054770102,1,1,1,1,1,1,0.000187051519128,2.01323826695045E-05,3.56195843171202E-05,2.2815779032178E-08
39.8107170553497,1,1,1,1,1,1,0.000280306148829,3.16958004746554E-05,5.64416435001413E-05,2.44807668425501E-08
43.6515832240167,1,1,1,1,1,1,0.000422964761603,4.99551517452885E-05,8.94386937375857E-05,2.55712946108877E-08
47.8630092322638,1,1,1,1,1,1,0.000642287566405,7.88053820472962E-05,0.000141730630171,2.70609514162541E-08
52.4807460249773,1,1,1,1,1,1,0.000980958464322,0.000124412734197,0.000224601352429,2.94577739604812E-08
57.5439937337157,1,1,1,1,1,1,0.001505940570758,0.000196541040899,0.00035593414357,3.30477617816023E-08
63.0957344480194,1,1,1,1,1,1,0.002322458540181,0.000310653065142,0.000564071447739,3.80642555394023E-08
69.1830970918936,1,1,1,1,1,1,0.00359608954303,0.000491239988334,0.000893932155593,4.47691211464257E-08
75.8577575029185,1,1,1,1,1,1,0.005587683466799,0.000777097091204,0.001416706782558,5.34958053742115E-08
83.1763771102671,1,1,1,1,1,1,0.008708586902808,0.001229683559776,0.002245223204128,6.46817156195903E-08
91.2010839355912,1,1,1,1,1,1,0.013608008018598,0.001946369795788,0.003558299590829,7.89021951683639E-08
100,1,1,1,1,1,1,0.021311270619302,0.003081430234761,0.005639341058369,9.69130920177946E-08
109.647819614319,1,1,1,1,1,1,1,1,1,1.19707836800629E-07
120.226443461741,1,1,1,1,1,1,1,1,1,1.4859604366625E-07
131.825673855641,1,1,1,1,1,1,1,1,1,1.8531354058398E-07
144.543977074593,1,1,1,1,1,1,1,1,1,2.3217820605217E-07
158.489319246112,1,1,1,1,1,1,1,1,1,2.9231312766076E-07
173.780082874938,1,1,1,1,1,1,1,1,1,3.69970032378139E-07
190.546071796324,1,1,1,1,1,1,1,1,1,4.71003061282091E-07
208.929613085404,1,1,1,1,1,1,1,1,1,6.03569980935156E-07
229.086765276777,1,1,1,1,1,1,1,1,1,7.79180206813023E-07
251.188643150958,1,1,1,1,1,1,1,1,1,1.01427470041862E-06
275.422870333816,1,1,1,1,1,1,1,1,1,1.33262671787124E-06
301.995172040202,1,1,1,1,1,1,1,1,1,1.76901563171958E-06
331.131121482591,1,1,1,1,1,1,1,1,1,2.37489481849374E-06
363.078054770102,1,1,1,1,1,1,1,1,1,3.22729291097467E-06
398.107170553497,1,1,1,1,1,1,1,1,1,4.44610025276961E-06
436.515832240167,1,1,1,1,1,1,1,1,1,6.20139258900123E-06
478.630092322638,1,1,1,1,1,1,1,1,1,8.74779119901702E-06
524.807460249773,1,1,1,1,1,1,1,1,1,1.25217412816535E-05
575.439937337157,1,1,1,1,1,1,1,1,1,1.81519056178894E-05
630.957344480194,1,1,1,1,1,1,1,1,1,2.66277053333524E-05
691.830970918936,1,1,1,1,1,1,1,1,1,3.94909246909541E-05
758.577575029185,1,1,1,1,1,1,1,1,1,5.91507982550328E-05
831.763771102671,1,1,1,1,1,1,1,1,1,8.94044559690018E-05
912.010839355912,1,1,1,1,1,1,1,1,1,0.000136105620683
1000,1,1,1,1,1,1,1,1,1,0.000208640896316
1096.47819614319,1,1,1,1,1,1,1,1,1,0.000321658776486
1202.26443461741,1,1,1,1,1,1,1,1,1,0.00049829251895
1318.25673855641,1,1,1,1,1,1,1,1,1,0.000775052878866
1445.43977074593,1,1,1,1,1,1,1,1,1,0.001209613955963
1584.89319246112,1,1,1,1,1,1,1,1,1,0.001893222778179
1737.80082874938,1,1,1,1,1,1,1,1,1,0.002970358047488
1905.46071796325,1,1,1,1,1,1,1,1,1,0.004669144450855
2089.29613085404,1,1,1,1,1,1,1,1,1,0.00735420303913
2290.86765276777,1,1,1,1,1,1,1,1,1,0.011598163578368
2511.88643150958,1,1,1,1,1,1,1,1,1,0.018308748763195
2754.22870333816,1,1,1,1,1,1,1,1,1,0.028924975199449
3019.95172040202,1,1,1,1,1,1,1,1,1,0.04572762919349
3311.31121482591,1,1,1,1,1,1,1,1,1,0.072332221637666
3630.78054770102,1,1,1,1,1,1,1,1,1,0.114471932378005
3981.07170553497,1,1,1,1,1,1,1,1,1,0.181240654868922
4365.15832240167,1,1,1,1,1,1,1,1,1,0.287068085429968
4786.30092322638,1,1,1,1,1,1,1,1,1,0.454859782601899
5248.07460249773,1,1,1,1,1,1,1,1,1,0.720993895693117
5754.39937337157,1,1,1,1,1,1,1,1,1,1.14328201633065
6309.57344480194,1,1,1,1,1,1,1,1,1,1.81367738514362
6918.30970918936,1,1,1,1,1,1,1,1,1,2.87858698931741
7585.77575029185,1,1,1,1,1,1,1,1,1,4.57150858767473
8317.63771102671,1,1,1,1,1,1,1,1,1,7.26575891632341
9120.10839355912,1,1,1,1,1,1,1,1,1,11.5606919302394
10000,1,1,1,1,1,1,1,1,1,18.4262494828253
