f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (1OGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
1.73780082874938E-05,1,1,1,1,1,2.35816952075788E-07,1,1,1,1
1.90546071796325E-05,1,1,1,1,1,1.78966005362074E-07,1,1,1,1
2.08929613085404E-05,1,1,1,1,1,1.35833328821658E-07,1,1,1,1
2.29086765276777E-05,1,1,1,1,1,1.03107640532205E-07,1,1,1,1
2.51188643150958E-05,1,1,1,1,1,7.82770229844477E-08,1,1,1,1
2.75422870333817E-05,1,1,1,1,1,5.94359433265977E-08,1,1,1,1
3.01995172040202E-05,1,1,1,1,1,4.51388628344076E-08,1,1,1,1
3.31131121482591E-05,1,1,1,1,1,3.42891879595326E-08,1,1,1,1
3.63078054770102E-05,1,1,1,1,1,2.60550307398562E-08,1,1,1,1
3.98107170553498E-05,1,1,1,1,1,1.98053062208432E-08,1,1,1,1
4.36515832240166E-05,1,1,1,1,1,1.50612571049018E-08,1,1,1,1
4.78630092322638E-05,1,1,1,1,1,1.14596811749534E-08,1,1,1,1
5.24807460249772E-05,1,1,1,1,1,8.72503620275558E-09,1,1,1,1
5.75439937337157E-05,1,1,1,1,1,6.64827913860924E-09,1,1,1,1
6.30957344480193E-05,1,1,1,1,1,5.07081379443234E-09,1,1,1,1
6.91830970918936E-05,1,1,1,1,1,3.87231373198272E-09,1,1,1,1
7.58577575029184E-05,1,1,1,1,1,2.96148480965101E-09,1,1,1,1
8.31763771102671E-05,1,1,1,1,1,2.26905770143367E-09,1,1,1,1
9.1201083935591E-05,1,1,1,1,1,1.74247203419432E-09,1,1,1,1
0.0001,1,1,1,1,1,1.34184375829363E-09,1,1,1,1
0.000109647819614,1,1,1,1,1,1.03690595814329E-09,1,1,1,1
0.000120226443462,1,1,1,1,1,8.04688098382385E-10,1,1,1,1
0.000131825673856,1,1,1,1,1,6.27755434514749E-10,1,1,1,1
0.000144543977075,1,1,1,1,1,4.92873352991842E-10,1,1,1,1
0.000158489319246,1,1,1,1,1,3.89994051485794E-10,1,1,1,1
