9.56020e+0;3.87251e-1
9.56020e+0;2.11932e-1
9.56020e+0;6.64881e-2
9.56020e+0;3.63872e-2
9.56020e+0;1.99137e-2
9.56020e+0;6.10422e-3
9.56020e+0;3.34068e-3
9.56020e+0;1.87115e-3
9.56020e+0;1.04805e-3
9.56020e+0;3.13899e-4
9.56020e+0;2.48610e-7
9.56020e+0;9.22712e-8
9.61494e+0;2.97431e-6
9.77849e+0;1.02026e-6
9.99978e+0;3.89062e-8
1.01508e+1;1.07831e+0
1.01508e+1;4.71896e-5
1.03556e+1;1.01580e-4
1.04596e+1;1.08833e-1
1.04596e+1;1.05270e-2
1.04596e+1;1.98628e-8
1.06175e+1;1.06215e-8
1.06494e+1;2.14217e-5
1.06974e+1;5.77932e-9
1.11057e+1;1.32926e-5
1.13814e+1;2.40826e-9
1.34943e+1;1.15669e-9
1.76723e+1;6.36927e-10
2.42080e+1;4.76775e-10
3.36615e+1;5.59846e-10
4.47490e+1;8.85307e-10
5.51943e+1;1.41128e-9
6.70653e+1;2.28600e-9
8.27196e+1;3.95039e-9
9.92858e+1;6.85834e-9
1.16954e+2;1.21830e-8
1.36655e+2;2.05107e-8
1.57561e+2;3.52169e-8
1.93371e+2;6.90160e-8
2.16642e+2;1.15242e-7
2.57064e+2;1.93475e-7
3.04648e+2;3.33691e-7
3.48634e+2;5.64050e-7
3.98971e+2;9.69783e-7
4.49785e+2;1.58749e-6
4.99528e+2;2.44279e-6
5.59411e+2;4.76119e-6
6.74432e+2;9.42940e-6
7.84994e+2;1.95847e-5
9.29223e+2;4.51537e-5
1.23780e+3;1.58081e-4
1.54128e+3;5.25240e-4
1.91916e+3;1.41634e-3
2.38968e+3;5.08917e-3
2.97557e+3;1.73564e-2
3.34848e+3;3.42141e-2
3.41096e+3;6.54647e-2
3.68738e+3;1.36555e-1
3.92103e+3;2.54245e-1
4.08818e+3;4.01693e-1
4.36557e+3;6.78335e-1
