9.40112e+0;2.76753e-2
9.40112e+0;4.18354e-2
9.40112e+0;6.18801e-2
9.53419e+0;9.32950e-3
9.53419e+0;1.67830e-2
9.53419e+0;8.57495e-2
9.53419e+0;1.21436e-1
9.53419e+0;2.13754e-1
9.66915e+0;3.28484e-3
9.66915e+0;5.41684e-3
9.66915e+0;3.92986e-1
9.66915e+0;1.16579e+0
9.66915e+0;1.80101e+0
9.80602e+0;1.37271e-4
9.80602e+0;2.46938e-4
9.80602e+0;3.42184e-4
9.80602e+0;7.32536e-4
9.80602e+0;1.08352e-3
9.80602e+0;1.90722e-3
9.80602e+0;5.68784e-1
9.94483e+0;8.69448e-5
1.00856e+1;5.87821e-5
1.03732e+1;2.16172e-5
1.03732e+1;3.41303e-5
1.09731e+1;1.28279e-5
1.11284e+1;5.25926e-6
1.11284e+1;8.67272e-6
1.17720e+1;2.73912e-6
1.26291e+1;1.66119e-6
1.28079e+1;9.03593e-7
1.41322e+1;4.40909e-7
1.49495e+1;2.61640e-7
1.64952e+1;1.30475e-7
1.79467e+1;6.94503e-8
1.92534e+1;4.39918e-8
2.06552e+1;2.78657e-8
2.24728e+1;1.80394e-8
2.41090e+1;1.09403e-8
2.66017e+1;7.23827e-9
2.97677e+1;5.00191e-9
3.28456e+1;3.93821e-9
3.67547e+1;3.85405e-9
4.05550e+1;4.11441e-9
4.47482e+1;4.79157e-9
5.15015e+1;6.22150e-9
6.01131e+1;8.43744e-9
6.44899e+1;1.04881e-8
7.74194e+1;1.76798e-8
8.78598e+1;2.67302e-8
1.10017e+2;5.84983e-8
1.41691e+2;1.36658e-7
1.67724e+2;3.12345e-7
2.10023e+2;6.83559e-7
2.48611e+2;1.49584e-6
2.90182e+2;2.93605e-6
3.20185e+2;5.05754e-6
3.89820e+2;1.13112e-5
4.36214e+2;2.17229e-5
4.95039e+2;3.82433e-5
5.61798e+2;6.58792e-5
6.74432e+2;1.60727e-4
7.13438e+2;2.59363e-4
7.87204e+2;4.46771e-4
8.93362e+2;7.21013e-4
9.71973e+2;1.24197e-3
1.08765e+3;2.09340e-3
1.15056e+3;3.37808e-3
1.26952e+3;5.33417e-3
1.38123e+3;8.79722e-3
1.48180e+3;1.35920e-2
1.68162e+3;2.44548e-2
1.77888e+3;4.03299e-2
1.99059e+3;6.36843e-2
2.07633e+3;9.21761e-2
2.25903e+3;1.45549e-1
2.38968e+3;2.20035e-1
2.56367e+3;3.11637e-1
2.71194e+3;4.51069e-1
2.86879e+3;6.52885e-1
3.03470e+3;9.04776e-1
3.16541e+3;1.22685e+0
3.30174e+3;1.81478e+0
