# # x, Ipressure_b, Ipressure_f
9.999999999999999547e-08 9.999999999999964473e-01 8.749999999999984457e-01
1.022951286804554792e-07 9.999999999999962252e-01 8.749999999999982236e-01
1.046429335175096563e-07 9.999999999999961142e-01 8.749999999999984457e-01
1.070446234967399827e-07 9.999999999999958922e-01 8.749999999999980016e-01
1.095014353514992429e-07 9.999999999999956701e-01 8.749999999999978906e-01
1.120146341997621426e-07 9.999999999999953371e-01 8.749999999999978906e-01
1.145855141955881678e-07 9.999999999999953371e-01 8.749999999999977796e-01
1.172153991955384948e-07 9.999999999999952260e-01 8.749999999999975575e-01
1.199056434403859194e-07 9.999999999999948930e-01 8.749999999999973355e-01
1.226576322524709026e-07 9.999999999999947820e-01 8.749999999999973355e-01
1.254727827490649623e-07 9.999999999999943379e-01 8.749999999999973355e-01
1.283525445721043414e-07 9.999999999999940048e-01 8.749999999999971134e-01
1.312984006346733805e-07 9.999999999999938938e-01 8.749999999999968914e-01
1.343118678846190938e-07 9.999999999999934497e-01 8.749999999999968914e-01
1.373944980856944549e-07 9.999999999999930056e-01 8.749999999999965583e-01
1.405478786166273626e-07 9.999999999999928946e-01 8.749999999999966693e-01
1.437736332885293257e-07 9.999999999999922284e-01 8.749999999999961142e-01
1.470734231810672507e-07 9.999999999999922284e-01 8.749999999999964473e-01
1.504489474978238872e-07 9.999999999999915623e-01 8.749999999999958922e-01
1.539019444412898513e-07 9.999999999999911182e-01 8.749999999999956701e-01
1.574341921079405456e-07 9.999999999999910072e-01 8.749999999999955591e-01
1.610475094038535761e-07 9.999999999999903411e-01 8.749999999999952260e-01
1.647437569813406596e-07 9.999999999999898970e-01 8.749999999999950040e-01
1.685248381970792649e-07 9.999999999999893419e-01 8.749999999999947820e-01
1.723927000922319594e-07 9.999999999999887867e-01 8.749999999999945599e-01
1.763493343950603822e-07 9.999999999999883427e-01 8.749999999999942268e-01
1.803967785465537393e-07 9.999999999999882316e-01 8.749999999999941158e-01
1.845371167495938278e-07 9.999999999999873435e-01 8.749999999999937828e-01
1.887724810421993558e-07 9.999999999999866773e-01 8.749999999999935607e-01
1.931050523954062669e-07 9.999999999999861222e-01 8.749999999999931166e-01
1.975370618363422137e-07 9.999999999999855671e-01 8.749999999999927836e-01
2.020707915970771703e-07 9.999999999999851230e-01 8.749999999999927836e-01
2.067085762898450913e-07 9.999999999999841238e-01 8.749999999999922284e-01
2.114528041092345183e-07 9.999999999999832356e-01 8.749999999999917843e-01
2.163059180619733229e-07 9.999999999999824585e-01 8.749999999999914513e-01
2.212704172249361895e-07 9.999999999999815703e-01 8.749999999999907851e-01
2.263488580320291995e-07 9.999999999999809042e-01 8.749999999999904521e-01
2.315438555906062183e-07 9.999999999999799050e-01 8.749999999999901190e-01
2.368580850280986303e-07 9.999999999999790168e-01 8.749999999999894529e-01
2.422942828695561385e-07 9.999999999999777955e-01 8.749999999999890088e-01
2.478552484467997860e-07 9.999999999999769074e-01 8.749999999999885647e-01
2.535438453399164433e-07 9.999999999999756861e-01 8.749999999999881206e-01
2.593630028518425576e-07 9.999999999999747979e-01 8.749999999999872324e-01
2.653157175167862599e-07 9.999999999999735767e-01 8.749999999999868994e-01
2.714050546432702495e-07 9.999999999999722444e-01 8.749999999999861222e-01
2.776341498925938380e-07 9.999999999999710232e-01 8.749999999999854561e-01
2.840062108935180389e-07 9.999999999999698019e-01 8.749999999999850120e-01
2.905245188940100441e-07 9.999999999999683586e-01 8.749999999999841238e-01
2.971924304509017933e-07 9.999999999999666933e-01 8.749999999999834577e-01
3.040133791583231193e-07 9.999999999999651390e-01 8.749999999999826805e-01
3.109908774158082744e-07 9.999999999999634737e-01 8.749999999999816813e-01
3.181285182369786176e-07 9.999999999999619194e-01 8.749999999999810152e-01
3.254299770997435218e-07 9.999999999999601430e-01 8.749999999999801270e-01
3.328990138389601305e-07 9.999999999999581446e-01 8.749999999999792388e-01
3.405394745825315588e-07 9.999999999999562572e-01 8.749999999999782396e-01
3.483552937319475888e-07 9.999999999999540368e-01 8.749999999999771294e-01
3.563504959882751952e-07 9.999999999999520384e-01 8.749999999999760192e-01
3.645291984246474197e-07 9.999999999999498179e-01 8.749999999999751310e-01
3.728956126063259580e-07 9.999999999999474865e-01 8.749999999999739098e-01
3.814540467594146718e-07 9.999999999999448219e-01 8.749999999999724665e-01
3.902089079893480387e-07 9.999999999999423794e-01 8.749999999999714673e-01
3.991647045503036999e-07 9.999999999999396039e-01 8.749999999999700240e-01
4.083260481666938755e-07 9.999999999999368283e-01 8.749999999999685807e-01
4.176976564079381170e-07 9.999999999999340528e-01 8.749999999999672484e-01
4.272843551177470761e-07 9.999999999999308331e-01 8.749999999999654721e-01
4.370910808991545954e-07 9.999999999999278355e-01 8.749999999999639178e-01
4.471228836565839670e-07 9.999999999999243938e-01 8.749999999999621414e-01
4.573849291962657623e-07 9.999999999999207301e-01 8.749999999999603650e-01
4.678825018863311976e-07 9.999999999999171774e-01 8.749999999999588107e-01
4.786210073779570401e-07 9.999999999999130695e-01 8.749999999999567013e-01
4.896059753889734234e-07 9.999999999999092948e-01 8.749999999999547029e-01
5.008430625513505472e-07 9.999999999999050759e-01 8.749999999999527045e-01
5.123380553240382038e-07 9.999999999999005240e-01 8.749999999999503730e-01
5.240968729726680207e-07 9.999999999998959721e-01 8.749999999999480416e-01
5.361255706176340262e-07 9.999999999998909761e-01 8.749999999999457101e-01
5.484303423521360191e-07 9.999999999998860911e-01 8.749999999999430456e-01
5.610175244317800693e-07 9.999999999998807620e-01 8.749999999999406031e-01
5.738935985373951709e-07 9.999999999998750999e-01 8.749999999999378275e-01
5.870651951127261247e-07 9.999999999998694378e-01 8.749999999999348299e-01
6.005390967787301750e-07 9.999999999998633315e-01 8.749999999999314992e-01
6.143222418262470640e-07 9.999999999998568923e-01 8.749999999999286127e-01
6.284217277888195786e-07 9.999999999998501199e-01 8.749999999999249489e-01
6.428448150975146159e-07 9.999999999998434586e-01 8.749999999999218403e-01
6.575989308196387324e-07 9.999999999998359090e-01 8.749999999999183986e-01
6.726916724832501906e-07 9.999999999998284705e-01 8.749999999999142908e-01
6.881308119894488174e-07 9.999999999998203659e-01 8.749999999999101830e-01
7.039242996144698839e-07 9.999999999998121503e-01 8.749999999999060751e-01
7.200802681036168978e-07 9.999999999998031575e-01 8.749999999999016342e-01
7.366070368591651833e-07 9.999999999997941647e-01 8.749999999998971933e-01
