f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (NANOGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
1.2022644346174132e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.3182567385564074e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.445439770745928e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.584893192461114e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.7378008287493763e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.9054607179632483e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
2.0892961308540407e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
2.29086765276777e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
2.5118864315095823e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
2.7542287033381634e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
3.0199517204020193e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
3.3113112148259077e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
3.6307805477010175e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
3.981071705534969e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
4.365158322401665e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
4.78630092322638e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
5.248074602497734e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
5.754399373371567e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
6.309573444801943e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
6.9183097091893625e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
7.585775750291836e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
8.31763771102671e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
9.120108393559096e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
0.00001,1.,1.,1.,1.,1.,1.998155396402359e-6,1.,1.,1.,1.
0.000010964781961431852,1.,1.,1.,1.,1.,5.03637422830814e-7,1.,1.,1.,1.
0.000012022644346174132,1.,1.,1.,1.,1.,2.576611642119144e-7,1.,1.,1.,1.
0.000013182567385564074,1.,1.,1.,1.,1.,1.5230014584273045e-7,1.,1.,1.,1.
0.00001445439770745928,1.,1.,1.,1.,1.,9.561525148746129e-8,1.,1.,1.,1.
0.00001584893192461114,1.,1.,1.,1.,1.,6.221817008220377e-8,1.,1.,1.,1.
0.000017378008287493764,1.,1.,1.,1.,1.,4.110713732033424e-8,1.,1.,1.,1.
0.000019054607179632484,1.,1.,1.,1.,1.,2.7362745615969188e-8,1.,1.,1.,1.
0.00002089296130854041,1.,1.,1.,1.,1.,1.8930394866503834e-8,1.,1.,1.,1.
0.00002290867652767775,1.,1.,1.,1.,1.,1.3096633460372193e-8,1.,1.,1.,1.
0.000025118864315095822,1.,1.,1.,1.,1.,9.060656642658724e-9,1.,1.,1.,1.
0.00002754228703338169,1.,1.,1.,1.,1.,6.268442882253692e-9,1.,1.,1.,1.
0.000030199517204020192,1.,1.,1.,1.,1.,4.3367029253794685e-9,1.,1.,1.,1.
0.000033113112148259144,1.,1.,1.,1.,1.,3.1036487170068894e-9,1.,1.,1.,1.
