f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (NANOGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
0.3311311214825908,1.,1.,1.,1.,1.,4.60281950952209e-7,1.3055232783381285e-13,5.307147539327873e-16,4.6218129183466205e-17,1.
0.36307805477010174,1.,1.,1.,1.,1.,7.294977306768839e-7,1.3670506948928562e-13,6.346273264067677e-16,5.306551240080765e-17,1.
0.3981071705534969,1.,1.,1.,1.,1.,1.156175987265613e-6,1.439230663540529e-13,7.6298986377519e-16,6.283464788596402e-17,1.
0.43651583224016655,1.,1.,1.,1.,1.,1.8324154515042964e-6,1.578085041792882e-13,9.173155771904996e-16,7.554386241500307e-17,1.
0.47863009232263803,1.,1.,1.,1.,1.,2.904182774849689e-6,1.7303358399855984e-13,1.1028558937766774e-15,9.082369903518895e-17,1.
0.5248074602497733,1.,1.,1.,1.,1.,4.6028195095221456e-6,1.943070319960896e-13,1.325924417595904e-15,1.1338246548827557e-16,1.
0.5754399373371566,1.,1.,1.,1.,1.,7.632012036725404e-6,2.230943224686203e-13,1.5941117702663558e-15,1.427400670550646e-16,1.
0.6309573444801942,1.,1.,1.,1.,1.,0.000012665987253555503,2.561465542777406e-13,1.916543886196252e-15,1.796990976968252e-16,1.
0.6918309709189363,1.,1.,1.,1.,1.,0.00002135928614070462,2.940955939279349e-13,2.3836932829225254e-15,2.270756775646411e-16,1.
0.7585775750291851,1.,1.,1.,1.,1.,0.000037308074069726666,3.452188102083498e-13,3.0008920477942457e-15,2.993440421118519e-16,1.
0.8317637711026709,1.,1.,1.,1.,1.,0.0000692066955356594,4.1504429767443606e-13,3.777899257019194e-15,3.9461230066065937e-16,1.
0.9120108393559115,1.,1.,1.,1.,1.,0.00014828519184135702,4.989929978847392e-13,4.756093377859793e-15,5.202003244631646e-16,1.
1.,1.,1.,1.,1.,1.,0.0006245304413929776,5.999215344799416e-13,5.9875668142536226e-15,6.857575831227919e-16,0.000010820889501492758
1.0964781961431873,1.,1.,1.,1.,1.,1.,7.212643244663408e-13,7.537900017279371e-15,9.098428394578797e-16,1.714995410728907e-6
1.2022644346174132,1.,1.,1.,1.,1.,1.,8.671504452642322e-13,9.489653883316647e-15,1.255932738849257e-15,2.718084551566401e-7
1.3182567385564101,1.,1.,1.,1.,1.,1.,1.0425441398038443e-12,1.1946766422838592e-14,1.7336697901071317e-15,4.3078737023111284e-8
1.4454397707459279,1.,1.,1.,1.,1.,1.,1.253413740804961e-12,1.5040087838480728e-14,2.3931304982812533e-15,6.827519704775443e-9
1.5848931924611174,1.,1.,1.,1.,1.,1.,1.5210002259688838e-12,1.89343487754799e-14,3.3034396829687293e-15,1.0820889501492226e-9
1.7378008287493762,1.,1.,1.,1.,1.,1.,1.914825835816889e-12,2.38369328292253e-14,4.560016157434744e-15,1.714995410728966e-10
1.9054607179632443,1.,1.,1.,1.,1.,1.,2.4106229038698754e-12,3.068410772176459e-14,6.2945745500577896e-15,4.372223548752885e-11
2.089296130854041,1.,1.,1.,1.,1.,1.,3.034794431934851e-12,4.0449531770807126e-14,8.707133092418405e-15,1.8884051328227777e-11
2.29086765276777,1.,1.,1.,1.,1.,1.,3.820579829934208e-12,5.332286782831764e-14,1.2585636460959433e-14,9.525597261457467e-12
2.5118864315095824,1.,1.,1.,1.,1.,1.,4.809825035692439e-12,7.029322983383284e-14,1.8191779480820953e-14,5.175895494542341e-12
2.754228703338163,1.,1.,1.,1.,1.,1.,6.055210963716967e-12,9.266452390334385e-14,2.6295121562218084e-14,2.9724523890731437e-12
3.019951720402019,1.,1.,1.,1.,1.,1.,7.62305895599798e-12,1.2215563306070508e-13,3.800801448262914e-14,1.7836119437418809e-12
3.3113112148259076,1.,1.,1.,1.,1.,1.,9.596862635310925e-12,1.6103248643489734e-13,5.4938295740278914e-14,1.1053073232276718e-12
3.6307805477010175,1.,1.,1.,1.,1.,1.,1.2081734245090927e-11,2.12282160369298e-13,7.940999760000139e-14,7.017971265963617e-13
3.981071705534969,1.,1.,1.,1.,1.,1.,1.5210002259688713e-11,2.798423883821373e-13,1.1478236872587976e-13,4.636727633727777e-13
4.3651583224016655,1.,1.,1.,1.,1.,1.,1.914825835816893e-11,3.689041142184741e-13,1.659110007368116e-13,3.1559977004186584e-13
4.7863009232263805,1.,1.,1.,1.,1.,1.,2.4106229038698807e-11,4.863103344496831e-13,2.398143588692425e-13,2.2131986254338943e-13
5.248074602497733,1.,1.,1.,1.,1.,1.,3.034794431934856e-11,6.670156706083793e-13,3.466372119055423e-13,1.6150624971451625e-13
5.754399373371567,1.,1.,1.,1.,1.,1.,3.9269131049337e-11,9.207379359513422e-13,5.010432121087509e-13,1.238750543294739e-13
6.309573444801943,1.,1.,1.,1.,1.,1.,5.176679662304346e-11,1.270972158610181e-12,7.242277856442822e-13,1.0063823944697493e-13
6.918309709189363,1.,1.,1.,1.,1.,1.,6.824192848180568e-11,1.7544299684938434e-12,1.0876997830194134e-12,8.817581923598067e-14
7.585775750291852,1.,1.,1.,1.,1.,1.,8.996038207322533e-11,2.4217875218566544e-12,1.646300241510672e-12,8.329667152517729e-14
8.317637711026709,1.,1.,1.,1.,1.,1.,1.1859087987113758e-10,3.342997387382518e-12,2.491776248841701e-12,8.379208124026189e-14
9.120108393559116,1.,1.,1.,1.,1.,1.,1.5633322652146154e-10,4.614620990151417e-12,3.771455970020574e-12,8.774108036727854e-14
10.,1.,1.,1.,1.,1.,1.,2.060873293221806e-10,6.369950201911155e-12,5.708329606406478e-12,9.204347432129649e-14
10.964781961431873,1.,1.,1.,1.,1.,1.,2.7167601061005976e-10,8.963861968244412e-12,8.63990648555804e-12,1.0092366269056697e-13
12.02264434617413,1.,1.,1.,1.,1.,1.,3.581387316908311e-10,1.295672258837724e-11,1.3077027646653201e-11,1.1066059561511591e-13
13.1825673855641,1.,1.,1.,1.,1.,1.,4.721187963894861e-10,1.8728162127762736e-11,1.9792882290703417e-11,1.21336930264193e-13
14.45439770745928,1.,1.,1.,1.,1.,1.,6.223737847395769e-10,2.7070430372445725e-11,2.9957739630067724e-11,1.3304329842163351e-13
15.848931924611174,1.,1.,1.,1.,1.,1.,8.290301115188953e-10,3.912867667154187e-11,4.534287379481261e-11,1.4587907586229247e-13
17.378008287493763,1.,1.,1.,1.,1.,1.,1.1443801208226498e-9,5.655814543770456e-11,6.862921666856136e-11,1.59953225956521e-13
19.054607179632445,1.,1.,1.,1.,1.,1.,1.5796843115079238e-9,8.175139277528988e-11,1.038745228600659e-10,1.7624821240993252e-13
20.892961308540407,1.,1.,1.,1.,1.,1.,2.1805713666455946e-9,1.1816671443127625e-10,1.5722045250079823e-10,2.0236002336081646e-13
22.908676527677702,1.,1.,1.,1.,1.,1.,3.010026402361168e-9,1.7486597666501787e-10,2.3796278436681177e-10,2.3234039366791456e-13
25.11886431509582,1.,1.,1.,1.,1.,1.,4.154993081858617e-9,2.6467036595012364e-10,3.6023504115327234e-10,2.667624644098283e-13
27.542287033381633,1.,1.,1.,1.,1.,1.,5.7354870697314426e-9,4.005948095115338e-10,5.70934064409765e-10,3.062842895915768e-13
30.199517204020193,1.,1.,1.,1.,1.,1.,8.06741902380384e-9,6.063247800013479e-10,9.048695120272011e-10,3.5166141630217006e-13
33.11311214825908,1.,1.,1.,1.,1.,1.,1.1660968304278265e-8,9.177096909766414e-10,1.4341215296775067e-9,4.037613286680582e-13
36.30780547701018,1.,1.,1.,1.,1.,1.,1.6855227352411648e-8,1.3890098255766254e-9,2.2729294495478235e-9,4.635800317306257e-13
39.81071705534969,1.,1.,1.,1.,1.,1.,2.436321596014018e-8,2.1078821991393573e-9,3.6023504115326946e-9,5.322610922851561e-13
43.651583224016655,1.,1.,1.,1.,1.,1.,3.528615586344964e-8,3.3407681479259642e-9,5.709340644097719e-9,6.111175006890905e-13
47.863009232263806,1.,1.,1.,1.,1.,1.,5.340775812119701e-8,5.294760695238733e-9,9.04869512027194e-9,7.01656771576301e-13
52.480746024977336,1.,1.,1.,1.,1.,1.,8.083591305809872e-8,8.391630181594627e-9,1.4492853372739504e-8,8.056097633331434e-13
57.543993733715666,1.,1.,1.,1.,1.,1.,1.2365426906108825e-7,1.3404121860254975e-8,2.4052149708810515e-8,9.249637672841926e-13
63.09573444801943,1.,1.,1.,1.,1.,1.,1.9597880925367573e-7,2.2245305144977014e-8,3.9916632752470534e-8,1.062000499160749e-12
69.18309709189363,1.,1.,1.,1.,1.,1.,3.174065753764236e-7,3.7158060800649906e-8,6.742601313036178e-8,1.2280088098810998e-12
75.85775750291852,1.,1.,1.,1.,1.,1.,5.357377258715289e-7,6.470018818579084e-8,1.1782341227230928e-7,1.476391317516909e-12
83.17637711026708,1.,1.,1.,1.,1.,1.,9.667989764829152e-7,1.1985804202063595e-7,2.1860681519924455e-7,1.7750127726285167e-12
91.20108393559116,1.,1.,1.,1.,1.,1.,2.029305504290124e-6,2.563718941982876e-7,4.686451456503356e-7,2.1340347275229197e-12
100.,1.,1.,1.,1.,1.,1.,8.483249732732456e-6,1.0801860510781582e-6,1.9761436372899917e-6,2.5656740551392572e-12
109.64781961431873,1.,1.,1.,1.,1.,1.,1.,1.,1.,3.0846186673145776e-12
120.22644346174131,1.,1.,1.,1.,1.,1.,1.,1.,1.,3.7085273180692635e-12
131.825673855641,1.,1.,1.,1.,1.,1.,1.,1.,1.,4.458630499321793e-12
144.5439770745928,1.,1.,1.,1.,1.,1.,1.,1.,1.,5.360452876435046e-12
158.48931924611173,1.,1.,1.,1.,1.,1.,1.,1.,1.,6.444681846780494e-12
173.78008287493762,1.,1.,1.,1.,1.,1.,1.,1.,1.,7.748211776808624e-12
190.54607179632444,1.,1.,1.,1.,1.,1.,1.,1.,1.,9.745891726365293e-12
208.92961308540407,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.2269350754915855e-11
229.08676527677702,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.544619745157945e-11
251.18864315095823,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.9445610487383777e-11
275.4228703338163,1.,1.,1.,1.,1.,1.,1.,1.,1.,2.4480573190418473e-11
301.9951720402019,1.,1.,1.,1.,1.,1.,1.,1.,1.,3.098269851546402e-11
331.13112148259074,1.,1.,1.,1.,1.,1.,1.,1.,1.,4.08431510966718e-11
363.07805477010174,1.,1.,1.,1.,1.,1.,1.,1.,1.,5.384175915706546e-11
398.1071705534969,1.,1.,1.,1.,1.,1.,1.,1.,1.,7.097726182453226e-11
436.51583224016656,1.,1.,1.,1.,1.,1.,1.,1.,1.,9.356625368447271e-11
478.630092322638,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.2353721022404298e-10
524.8074602497734,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.705288210862089e-10
575.4399373371566,1.,1.,1.,1.,1.,1.,1.,1.,1.,2.353953012886816e-10
630.9573444801943,1.,1.,1.,1.,1.,1.,1.,1.,1.,3.249359698603537e-10
691.8309709189363,1.,1.,1.,1.,1.,1.,1.,1.,1.,4.485364997987066e-10
758.5775750291851,1.,1.,1.,1.,1.,1.,1.,1.,1.,6.191527264221944e-10
831.7637711026708,1.,1.,1.,1.,1.,1.,1.,1.,1.,8.621540699240309e-10
912.0108393559116,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.2461917811786706e-9
1000.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.8012951624923423e-9
1096.4781961431872,1.,1.,1.,1.,1.,1.,1.,1.,1.,2.603663666718701e-9
1202.2644346174131,1.,1.,1.,1.,1.,1.,1.,1.,1.,3.763439013521352e-9
1318.25673855641,1.,1.,1.,1.,1.,1.,1.,1.,1.,5.439824424920626e-9
1445.439770745928,1.,1.,1.,1.,1.,1.,1.,1.,1.,7.862938569655309e-9
1584.8931924611175,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.1365404123511978e-8
1737.8008287493763,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.6783021650485198e-8
1905.4607179632521,1.,1.,1.,1.,1.,1.,1.,1.,1.,2.5402131201840533e-8
2089.2961308540407,1.,1.,1.,1.,1.,1.,1.,1.,1.,3.844768141479777e-8
2290.86765276777,1.,1.,1.,1.,1.,1.,1.,1.,1.,5.8192920681658385e-8
2511.886431509582,1.,1.,1.,1.,1.,1.,1.,1.,1.,8.807854967708094e-8
2754.228703338163,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.3331227960969202e-7
3019.951720402019,1.,1.,1.,1.,1.,1.,1.,1.,1.,2.017763003579243e-7
3311.311214825908,1.,1.,1.,1.,1.,1.,1.,1.,1.,3.0540078907457656e-7
3630.7805477010174,1.,1.,1.,1.,1.,1.,1.,1.,1.,4.762857761262103e-7
3981.071705534969,1.,1.,1.,1.,1.,1.,1.,1.,1.,7.548620842484814e-7
4365.158322401666,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.196375778572439e-6
4786.30092322638,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.8961278270848032e-6
5248.074602497733,1.,1.,1.,1.,1.,1.,1.,1.,1.,3.0051600851828193e-6
5754.399373371566,1.,1.,1.,1.,1.,1.,1.,1.,1.,4.928977694146946e-6
6309.573444801943,1.,1.,1.,1.,1.,1.,1.,1.,1.,8.180066848258148e-6
6918.309709189362,1.,1.,1.,1.,1.,1.,1.,1.,1.,0.000013795084594207798
7585.775750291851,1.,1.,1.,1.,1.,1.,1.,1.,1.,0.000024124837206990062
8317.63771102671,1.,1.,1.,1.,1.,1.,1.,1.,1.,0.000044802432991319044
9120.108393559116,1.,1.,1.,1.,1.,1.,1.,1.,1.,0.0000963671071374873
10000.,1.,1.,1.,1.,1.,1.,1.,1.,1.,0.00040750772705700085
